"Variables ->","GDP","CPI_U","S","RS","GDP_RW","CPI_RW","RS_RW","D4L_CPI_TAR","CPI","L_CPI","L_CPI_RW","L_CPI_U","L_GDP","L_GDP_RW","L_S","L_Z","DLA_CPI","DLA_CPI_RW","DLA_CPI_U","DLA_GDP","DLA_GDP_RW","DLA_S","DLA_Z","D4L_CPI","D4L_CPI_RW","D4L_CPI_U","D4L_GDP","D4L_GDP_RW","D4L_S","D4L_Z","RR","RR_RW","RR_BAR","RR_GAP","L_Z_BAR","L_Z_GAP","RR_RW_BAR","RR_RW_GAP","DLA_Z_BAR","L_GDP_GAP","L_GDP_BAR","DLA_GDP_BAR","L_GDP_RW_BAR_PURE","L_GDP_RW_GAP_PURE","L_GDP_RW_BAR","L_GDP_RW_GAP"
"Comments ->","Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office","Headline CPI (NSA,index) Source: Central Bank","Nominal Exchange Rate (LCY per 1 EUR) Source: Central Bank","Nominal Policy Interest Rate (% pa) Source: Central Bank","EA19 Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office of the European Communities","Euro Area: Harmonized Indexes of Cosumer Prices (SWDA,2015=100) Source: European Central Bank","Euro Area 3-month deposits [EURIBOR] (% pa) Source: European Central Bank","Inflation Target (% pa) Source: Central Bank","Headline CPI (NSA,index) Source: Central Bank","Headline CPI (NSA,index) Source: Central Bank","Euro Area: Harmonized Indexes of Cosumer Prices (SWDA,2015=100) Source: European Central Bank","Headline CPI (NSA,index) Source: Central Bank","Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office","EA19 Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office of the European Communities","Nominal Exchange Rate (LCY per 1 EUR) Source: Central Bank","","Headline CPI (NSA,index) Source: Central Bank","Euro Area: Harmonized Indexes of Cosumer Prices (SWDA,2015=100) Source: European Central Bank","Headline CPI (NSA,index) Source: Central Bank","Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office","EA19 Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office of the European Communities","Nominal Exchange Rate (LCY per 1 EUR) Source: Central Bank","","Headline CPI (NSA,index) Source: Central Bank","Euro Area: Harmonized Indexes of Cosumer Prices (SWDA,2015=100) Source: European Central Bank","Headline CPI (NSA,index) Source: Central Bank","Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office","EA19 Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office of the European Communities","Nominal Exchange Rate (LCY per 1 EUR) Source: Central Bank","","","","","","","","","","","Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office","Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office","","EA19 Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office of the European Communities","EA19 Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office of the European Communities","EA19 Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office of the European Communities","EA19 Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office of the European Communities"
"Class[Size] ->","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]","tseries[73-by-1]"
"1996Q1",6.02673000e+05,5.58500000e+01,3.49600000e+01,1.08600000e+01,1.66413780e+06,8.41000000e+01,5.63000000e+00,8.91000000e+00,5.56344579e+01,4.01880276e+02,4.43200657e+02,4.02266953e+02,1.33091300e+03,1.43248177e+03,3.55420455e+02,3.96740836e+02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.95240663e+02,1.50017324e+00,NaN,NaN,NaN,1.21974124e+00,1.33155506e+03,NaN,1.43243918e+03,4.25921302e-02,1.43244704e+03,3.47272453e-02
"1996Q2",6.08307000e+05,5.68600000e+01,3.45800000e+01,1.18200000e+01,1.67695350e+06,8.45600000e+01,5.14000000e+00,8.76000000e+00,5.70809047e+01,4.04446964e+02,4.43746134e+02,4.04059211e+02,1.33184350e+03,1.43324893e+03,3.54327548e+02,3.93626718e+02,1.02667549e+01,2.18190983e+00,7.16903228e+00,3.72197106e+00,3.06864116e+00,-4.37162821e+00,-1.24564733e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.94107381e+02,-4.80662841e-01,NaN,NaN,-4.53312895e+00,1.52177006e+00,1.33189886e+03,1.37520445e+00,1.43312944e+03,1.19493243e-01,1.43313675e+03,1.12180813e-01
"1996Q3",6.10673000e+05,5.79300000e+01,3.38700000e+01,1.26900000e+01,1.68623540e+06,8.47800000e+01,5.00000000e+00,8.60000000e+00,5.77733460e+01,4.05652753e+02,4.44005967e+02,4.05923539e+02,1.33223169e+03,1.43380090e+03,3.52252967e+02,3.90606181e+02,4.82315362e+00,1.03932975e+00,7.45731155e+00,1.55277558e+00,2.20788635e+00,-8.29832537e+00,-1.20821492e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.92975036e+02,-2.36885552e+00,NaN,NaN,-4.52937852e+00,1.54062083e+00,1.33222067e+03,1.28723312e+00,1.43381972e+03,-1.88209683e-02,1.43382648e+03,-2.55760267e-02
"1996Q4",6.10665000e+05,5.86700000e+01,3.42500000e+01,1.26900000e+01,1.69108960e+06,8.51500000e+01,4.59000000e+00,8.45000000e+00,5.88318707e+01,4.07468373e+02,4.44441441e+02,4.07192852e+02,1.33223038e+03,1.43408836e+03,3.53368656e+02,3.90341724e+02,7.26248006e+00,1.74189647e+00,5.07725513e+00,-5.24015465e-03,1.14983387e+00,4.46275915e+00,-1.05782443e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.91844266e+02,-1.50254180e+00,NaN,NaN,-4.52307931e+00,1.17892567e+00,1.33252142e+03,1.20300369e+00,1.43451014e+03,-4.21776222e-01,1.43451632e+03,-4.27959508e-01
"1997Q1",6.06417000e+05,5.98400000e+01,3.39300000e+01,1.23900000e+01,1.69725090e+06,8.55700000e+01,4.44000000e+00,8.30000000e+00,5.96146156e+01,4.08790077e+02,4.44933475e+02,4.09167433e+02,1.33153231e+03,1.43445204e+03,3.52429958e+02,3.88573356e+02,5.28681809e+00,1.96813893e+00,7.89832429e+00,-2.79226363e+00,1.45470782e+00,-3.75479436e+00,-7.07347352e+00,6.90980166e+00,1.73281875e+00,6.90048082e+00,6.19310716e-01,1.97026730e+00,-2.99049720e+00,-8.16748012e+00,5.48019834e+00,2.70718125e+00,7.29476058e+00,-1.81456225e+00,3.90714228e+02,-2.14087182e+00,3.07306703e+00,-3.65885773e-01,-4.52015346e+00,4.96648550e-01,1.33280263e+03,1.12483270e+00,1.43520077e+03,-7.48730451e-01,1.43520635e+03,-7.54313855e-01
"1997Q2",6.04199000e+05,6.06100000e+01,3.65900000e+01,1.96700000e+01,1.71856390e+06,8.56700000e+01,4.33000000e+00,8.14000000e+00,6.08251088e+01,4.10800268e+02,4.45050271e+02,4.10445990e+02,1.33116589e+03,1.43569996e+03,3.59977498e+02,3.94227501e+02,8.04076169e+00,4.67180618e-01,5.11422492e+00,-1.46570175e+00,4.99167030e+00,3.01901601e+01,2.26165790e+01,6.35330336e+00,1.30413644e+00,6.38677897e+00,-6.77607487e-01,2.45102458e+00,5.64994988e+00,6.00782957e-01,1.33166966e+01,3.02586356e+00,6.90685761e+00,6.40983903e+00,3.89583139e+02,4.64436227e+00,2.98970363e+00,3.61599290e-02,-4.52435733e+00,-3.12709410e-01,1.33306642e+03,1.05519110e+00,1.43589144e+03,-1.91487456e-01,1.43589638e+03,-1.96425297e-01
"1997Q3",5.99998000e+05,6.36500000e+01,3.66200000e+01,1.54800000e+01,1.72980350e+06,8.61000000e+01,4.32000000e+00,7.97000000e+00,6.34843063e+01,4.15079273e+02,4.45550941e+02,4.15339933e+02,1.33046816e+03,1.43635184e+03,3.60059454e+02,3.90531122e+02,1.71160217e+01,2.00268218e+00,1.95757716e+01,-2.79091680e+00,2.60752721e+00,3.27824086e-01,-1.47855154e+01,9.42652038e+00,1.54497455e+00,9.41639399e+00,-1.76353058e+00,2.55093480e+00,7.80648724e+00,-7.50585863e-02,6.05347962e+00,2.77502545e+00,6.51782054e+00,-4.64340915e-01,3.88447878e+02,2.08324419e+00,2.90611155e+00,-1.31086104e-01,-4.54104310e+00,-1.02130971e+00,1.33331559e+03,9.96653746e-01,1.43658152e+03,-2.29681598e-01,1.43658574e+03,-2.33907134e-01
"1997Q4",6.00172000e+05,6.46100000e+01,3.80300000e+01,1.64600000e+01,1.74693770e+06,8.64700000e+01,4.43000000e+00,7.80000000e+00,6.48083524e+01,4.17143449e+02,4.45979753e+02,4.16836920e+02,1.33049716e+03,1.43733749e+03,3.63837532e+02,3.92673836e+02,8.25670379e+00,1.71524862e+00,5.98794903e+00,1.15983570e-01,3.94262046e+00,1.51123131e+01,8.57085790e+00,9.67507631e+00,1.53831259e+00,9.64406746e+00,-1.73322465e+00,3.24913145e+00,1.04688757e+01,2.33211200e+00,6.78492369e+00,2.89168741e+00,6.13052141e+00,6.54402278e-01,3.87308228e+02,5.36560863e+00,2.82208472e+00,6.96026950e-02,-4.55859986e+00,-1.48219240e+00,1.33355355e+03,9.51840941e-01,1.43727023e+03,6.72579085e-02,1.43727366e+03,6.38355707e-02
